source,target,weight
631,210,1
1627,1418,1
46,288,1
244,667,2
4,113,1
410,27525,1
162,3057,1
399,749,1
1038,11337,1
1214,458,1
512,11143,1
12,130,1
1082,2969,1
1108,11083,2
244,895,2
398,4255,1
1038,1387,2
1162,5773,2
862,4033,2
862,4271,2
985,1042,2
252,4033,1
289,984,1
1020,989,2
338,984,1
46,14843,1
252,1005,3
1132,1194,1
410,1025,1
290,3524,1
750,669,1
506,21550,1
46,19,2
1039,11141,1
1039,1020,1
281,430,1
416,1390,1
15,16651,1
1627,862,2
252,4326,3
800,1387,3
162,8024,1
46,13562,2
6195,2721,1
1041,415,1
800,235,1
8344,79,1
1123,1072,1
148,180,2
58,995,1
681,1108,1
621,1087,2
11,1060,3
430,1387,2
1050,703,1
1390,3057,1
631,543,3
244,23206,1
131,630,2
416,16795,1
506,1387,3
252,13499,1
800,5587,3
12,2655,1
4102,4255,1
5,13,1
6574,13562,1
398,4159,1
631,499,6
252,839,1
2288,1042,2
46,1390,1
29,984,2
1387,276,2
337,3064,2
1005,130,1
862,301,1
398,237,1
6574,749,2
16795,6894,1
39,595,1
940,2464,1
130,1025,1
862,38967,1
800,708,2
430,2259,1
418,5,1
4083,3709,1
506,252,3
1387,27563,2
4795,2036,1
86,2,1
46,130,7
289,355,1
1159,455,1
506,4102,2
1005,4083,3
1049,5648,2
12,1147,1
931,1123,3
631,11282,1
1038,5621,1
1008,533,1
40,199,1
3,266,1
46,873,1
1005,2331,1
1390,324,1
72,114,1
543,2455,1
873,1020,1
506,1039,1
31,1042,1
2655,252,1
252,56966,1
379,2414,1
399,641,1
22,1035,2
82,2,1
897,3302,1
350,2454,1
148,989,1
2282,347,1
46,1426,1
543,1060,1
931,1027,2
1084,6767,1
618,41,1
1110,1020,1
368,294,1
800,506,1
130,3037,5
337,1302,1
506,1307,3
281,1219,1
46,416,2
40,1160,1
631,2462,1
862,38290,1
410,172,1
931,180,1
1390,1408,1
458,9465,1
252,2921,1
681,12405,2
1010,370,1
13,606,1
162,11273,1
148,2814,2
416,1307,1
252,2581,1
749,408,1
15,80,1
276,2921,1
148,1219,1
800,3631,1
12,5621,1
180,1027,1
506,520,1
595,3558,1
862,1408,5
12,10348,1
543,1039,1
800,9816,1
1032,989,2
1390,422,1
873,677,1
281,383,2
1049,31,1
2288,399,2
2921,1103,2
40,1159,3
46,408,1
24,667,1
379,167,1
7055,367,1
800,2921,1
46,4150,1
984,405,1
42,2292,1
180,46,1
162,244,1
512,22,1
398,6266,2
631,1032,4
3709,3896,1
800,862,2
130,10643,3
1025,51857,1
398,940,1
995,1290,1
148,9636,1
1038,4255,3
164,1098,4
281,2454,2
289,3008,3
1385,276,1
31,1027,2
506,4159,4
862,1390,2
749,4255,1
276,5585,1
762,46,1
458,800,2
16795,1301,1
472,5358,3
355,1220,1
180,2454,1
506,11000,1
720,3,1
164,1194,1
985,1220,3
6195,11831,1
3911,11300,1
130,2722,3
7055,171,1
1038,368,1
130,24898,2
130,6992,1
189,714,1
148,350,2
60,409,1
506,1627,1
985,1060,1
417,1095,1
1420,10868,2
9260,1158,1
762,991,1
338,618,2
800,1005,1
985,1219,1
2921,19164,3
130,4326,6
276,1038,1
2288,1112,3
40,1397,1
1050,1108,2
543,2804,1
19,4103,1
130,16,1
1387,22359,1
418,60,1
12,1429,1
1038,1049,1
12,2921,4
1084,1532,1
1420,1423,3
16795,366,1
355,990,1
368,630,3
1386,4093,1
16795,237,1
452,86,1
221,458,1
430,1038,5
506,244,2
1025,2921,1
6195,1210,1
31,141,2
12,4172,2
31,595,1
379,289,1
506,398,1
6574,2722,1
1390,2250,1
6574,2331,1
631,3008,3
800,6110,1
1041,347,1
252,866,2
40,1421,1
1084,2296,1
607,4031,1
506,4326,1
506,4153,1
41,293,1
418,16,1
506,4097,1
458,6692,4
1027,1252,1
281,289,4
1038,2655,2
142,472,1
800,2425,1
33,79,1
989,2814,1
12,142,1
6195,1038,1
281,1034,1
641,337,1
506,15374,1
583,2262,1
1032,543,1
862,1387,4
1050,12321,1
27,16,1
415,162,1
3302,150,1
595,244,1
1039,1031,1
31,1003,1
1025,11337,1
130,7769,1
13,2296,1
15,127,1
405,244,1
244,614,1
11,931,2
1038,609,1
6195,2118,1
985,399,1
12,1627,1
512,703,1
31,1074,1
130,9415,2
458,1082,1
79,409,1
1071,1150,1
180,873,1
405,1003,1
148,337,1
1132,1027,1
46,252,1
13,46,2
1210,1104,1
861,1025,1
1020,2288,1
24,21,1
1049,5,1
281,317,1
2790,862,1
65,71,1
506,839,4
130,14435,1
7055,618,1
16,60,1
35,3426,1
1386,10670,2
5380,595,1
16,533,1
1387,354,1
121,40,1
331,4542,1
873,7454,1
940,993,1
180,931,1
46,862,4
12,4326,2
164,1034,1
2720,1071,1
398,332,2
533,127,1
410,2074,1
150,430,1
2722,1415,1
800,4159,3
29,583,1
985,1132,2
244,631,1
40,2150,1
543,2793,1
1020,1302,1
543,683,1
1071,1074,1
244,16795,1
398,1005,1
415,1147,1
512,991,1
130,6574,1
162,403,1
800,1104,1
4083,8373,1
1049,1050,1
6195,26789,1
289,903,1
989,2760,1
162,583,2
749,380,1
826,1416,1
1005,22203,1
621,940,1
826,61,1
749,12,1
1020,2805,1
2921,4093,1
1082,1162,1
367,8877,1
800,276,5
800,8738,1
1050,3709,1
141,368,1
6574,2253,1
862,4326,1
5,11337,1
332,380,1
506,2721,2
40,1095,1
677,1028,1
631,10484,2
2655,800,1
148,466,1
398,1103,1
1132,2964,1
630,4053,1
130,1408,2
714,4032,1
618,750,2
1050,5358,1
862,26789,1
410,5587,1
995,347,1
618,1080,1
312,7971,1
29,466,1
6574,2655,1
1038,332,1
1025,332,1
1075,162,1
410,2867,1
1050,683,1
1386,6195,1
5,2919,2
252,2655,2
1049,1775,1
1010,3709,1
2722,4255,1
405,350,2
714,472,1
276,408,1
1038,2722,2
82,25,1
273,3520,1
15,931,1
1181,1220,1
150,171,1
130,43571,1
6711,24,1
244,87,1
12,3522,2
398,1429,1
1050,2867,3
931,972,3
1025,4078,1
171,7971,1
533,38,1
543,1035,1
44,2778,1
398,5587,1
410,21550,1
631,1035,1
506,36,2
4102,6692,1
800,332,4
273,1160,1
244,2968,3
1416,7042,1
82,24,1
383,281,1
281,164,1
410,130,3
114,42,1
39,48,1
583,762,1
931,1034,1
417,1397,1
11,873,1
418,162,1
44,168,1
873,11438,1
985,1112,1
1032,180,1
1038,1385,4
1039,3684,1
16795,1244,1
1084,12321,1
289,2793,2
415,826,1
543,379,1
31,43,2
430,4339,1
416,1210,1
430,1307,1
46,4111,1
6195,6574,1
1050,333,1
410,3709,1
543,49734,1
410,614,1
1010,720,1
862,3037,1
1627,1429,1
1408,458,1
162,383,1
1038,15374,3
31,1025,1
40,1147,3
410,4673,1
641,1078,1
131,398,1
130,2759,1
416,8970,1
940,237,1
237,1531,1
244,2067,1
252,1429,2
273,290,1
289,26,1
641,150,1
40,10,1
379,164,3
252,1106,1
2288,11177,1
714,1531,1
800,2721,2
631,33,2
31,1098,2
12,8970,1
3709,7077,1
273,16795,1
252,19,1
162,195,1
130,380,2
631,29,1
667,3911,1
42,2540,1
2477,16795,1
131,2448,1
762,543,1
1387,839,1
800,1025,3
543,641,1
1244,7077,2
410,3837,1
4750,40,1
1533,11596,2
417,3558,1
164,3613,1
405,3522,1
410,4146,1
430,252,3
398,704,1
405,22,1
1084,2687,1
252,2331,1
358,1034,1
1162,1095,1
130,839,2
5648,2464,1
1385,862,1
1429,5862,1
82,12,1
366,134,1
44,2,1
6195,5174,1
5,1387,2
337,1025,1
405,1074,2
12,6692,5
15,52,1
12,6195,1
244,162,1
458,276,1
130,4111,1
683,749,1
749,1386,1
762,1181,1
1049,993,1
855,1175,1
5,2722,2
800,38290,2
1038,38290,1
984,1088,1
40,1162,2
11997,1005,1
458,839,1
3709,2619,1
6954,4,2
162,221,1
29,512,2
2381,595,1
506,332,1
506,1105,1
405,1302,1
46,380,1
5,510,1
405,720,1
276,1025,1
31,3008,2
405,2805,2
800,4097,1
749,430,1
512,42,1
1158,595,1
1082,3898,1
16,4795,1
281,3008,1
458,3302,1
1041,2969,1
358,899,1
931,350,2
458,408,3
1429,46,1
252,1025,2
3,931,1
289,3688,1
6195,379,1
862,14888,1
16795,7971,2
687,897,1
506,1429,2
5,1023,1
1003,1039,1
16795,294,1
40,1081,1
969,10868,1
19,704,1
2921,1390,1
2921,5615,1
3008,1071,3
2921,8970,2
826,2580,2
148,991,1
3008,2964,1
862,5587,1
1387,130,1
749,36745,2
1132,2553,1
40,1420,1
1234,134,1
11,1237,2
410,1627,1
46,5621,1
1387,10155,2
1039,2804,1
31,1088,2
506,1253,1
677,543,1
12,6574,3
167,105,1
130,6056,1
276,2250,2
131,150,2
157,862,1
631,1039,1
985,990,1
6574,14888,3
5,4361,5
18,50,1
430,3522,2
2288,641,2
281,1035,1
862,10670,1
993,26132,1
398,1025,1
2995,1084,1
839,1387,1
276,5587,1
1032,2805,1
273,260,1
410,430,2
583,14171,1
46,800,1
1032,2814,1
31,40,1
1025,2441,1
244,2079,1
506,276,5
862,1429,2
1164,995,1
800,839,1
164,677,1
1132,2999,1
985,2964,1
24,940,1
15,4795,1
273,2969,1
1032,1148,1
631,618,1
1162,1377,1
368,2448,1
40,1533,1
130,5,1
762,1035,2
1038,27198,1
897,237,1
289,1010,1
232,5,1
800,4102,4
379,1027,1
12,704,1
506,2331,1
398,4326,1
31,22,2
3234,252,1
430,380,1
244,1158,1
273,171,1
289,1150,1
24,6,1
252,237,1
23826,114,2
506,79,1
3368,1176,1
512,1071,1
130,749,1
42,4,1
244,19789,1
13,897,2
281,12321,4
16795,410,2
931,2553,1
1049,1531,2
331,7971,1
800,2722,3
800,1105,1
1386,2722,1
130,1415,1
4,167,1
409,18,1
11,1073,3
969,1165,1
410,4271,1
1071,3697,1
164,3688,1
28,79,2
164,1088,1
931,29095,1
6195,9353,1
410,13839,1
252,4361,1
244,29,1
6574,6692,1
1082,3508,1
12,408,1
289,399,1
430,5543,1
1023,4,1
167,2,1
398,800,2
5,839,1
121,1084,1
618,1175,1
1290,619,1
1010,667,1
13,367,3
6195,10670,1
1038,221,1
1020,352,1
762,465,2
46,122,1
24,81,1
1210,4083,1
800,2331,5
1049,46,1
162,3898,1
984,337,1
44,829,1
1429,4553,1
416,1416,1
11,641,1
5,22,1
1025,993,1
1158,1080,1
337,1039,2
252,1307,1
5,4111,1
984,703,1
252,2154,1
5,8970,1
410,1210,1
1041,3911,1
1005,4326,1
1050,714,1
5,1005,3
379,22,1
416,4083,2
130,11337,2
931,2797,1
29,1060,1
1049,648,1
1423,1147,1
995,2969,1
289,1220,1
290,984,1
281,3697,1
1039,466,1
358,677,1
347,1165,1
86,23,1
355,2805,1
1444,1387,1
1132,350,1
681,2639,1
458,8970,1
1025,931,1
1386,6692,1
150,4171,1
82,504,1
1032,358,1
2722,839,1
1020,990,4
379,1028,1
60,72,1
11282,6574,1
405,3716,1
130,5543,1
180,1028,1
355,1031,1
458,4331,1
410,19,2
964,60,1
1039,1110,1
7,29,1
130,7197,1
405,2454,3
130,5866,1
512,1416,1
16795,1025,1
430,669,1
1050,171,1
681,1533,3
1038,1210,1
31,355,2
336,1084,1
800,4103,2
398,4104,1
985,405,3
800,2655,3
800,4750,1
13603,273,1
336,12,1
16795,1429,1
631,1194,1
1390,4172,1
41,30,1
512,3008,1
12,4333,2
862,6692,2
330,150,1
410,1532,2
583,289,1
19,12,1
995,1005,1
762,1098,1
631,475,2
430,1429,2
5,4083,3
458,4330,1
417,2814,1
1041,609,1
252,3037,1
237,2448,1
800,2919,2
410,10643,1
398,20519,1
583,681,1
621,2296,3
31,1089,1
12,1210,4
1429,10612,1
6195,1408,1
276,4102,2
12,4271,2
19,276,1
969,1159,1
506,6692,2
273,156,1
4083,26789,1
12,839,3
506,22045,1
368,252,1
1385,130,1
6195,506,1
6195,1103,1
750,3911,1
1049,366,1
749,5174,1
15,24,2
1387,2919,1
130,1047,2
347,2180,1
855,1423,1
19,1038,1
1386,1307,1
862,32013,1
985,1241,1
379,1010,1
331,2867,1
1005,19164,2
750,1420,1
862,4553,1
130,607,1
289,698,2
244,265,1
897,11000,1
180,618,1
148,1181,1
252,800,1
159,150,1
79,12,1
1164,8728,1
430,150,1
11,1072,1
162,897,1
355,1035,1
410,2655,1
603,350,1
750,855,1
1627,19164,1
714,39,1
862,1103,4
162,762,1
4102,2721,1
15,92,1
4083,1104,1
1388,408,1
800,4146,2
130,244,1
189,150,1
1210,862,1
430,4171,2
398,130,1
398,2253,1
398,506,2
164,1039,2
16795,11000,2
1025,380,1
29,6699,1
940,826,1
418,142,2
408,1025,1
985,1039,1
5,130,2
862,22045,1
15,10,1
2921,430,1
1533,11000,1
1025,1387,2
252,862,4
197,15,1
12,23052,1
6195,22294,1
60,242,1
405,399,3
1025,2311,1
683,1421,1
164,520,2
337,512,1
4083,8322,1
189,2867,1
410,15374,2
1039,873,1
398,255,1
6574,54536,1
2698,1421,1
5,1047,1
458,1210,1
162,2381,1
1104,4097,1
29,972,1
289,350,5
16,209,1
46,4554,3
11,5,1
2448,16492,1
11,895,1
130,13562,5
410,398,2
6195,1025,3
1073,667,1
2288,1020,1
720,46,1
24,4191,1
294,46,1
595,26326,1
148,2793,2
252,4159,1
148,2288,2
338,1041,1
3234,237,1
609,583,1
6574,1210,1
3709,5358,1
355,512,1
234,41,1
5,276,3
609,398,1
1049,331,1
1104,4093,1
6574,19,1
1210,22041,1
162,494,1
232,379,1
3368,4053,1
630,472,2
1387,416,1
506,4255,1
252,9465,1
1627,4326,1
379,989,1
12,252,2
631,995,1
368,7077,1
1038,18446,1
46,4083,2
33,192,1
11300,172,1
984,1020,1
164,987,1
150,189,1
1103,1387,1
681,1244,1
36,1123,1
130,1210,1
410,1386,1
19,8970,1
22,1084,1
7097,630,1
16795,116,1
2047,416,1
862,11900,1
418,24,1
2619,984,1
290,312,1
31,2964,1
5,1210,2
84,1032,1
16795,3277,2
1050,1533,1
1025,6195,1
603,1035,1
985,2288,2
2921,144,1
12,4102,1
5,1108,2
862,4102,1
1159,7074,1
33,1293,1
405,1150,1
1627,2655,1
142,7077,1
418,336,1
1075,1084,1
332,4102,1
1386,1038,1
46,5,1
1082,667,1
417,895,1
12,1307,3
506,932,1
458,4104,1
46,4103,1
130,50358,1
512,1032,1
42,94,1
2722,20519,1
42,39,1
1095,3161,1
276,433,1
862,2655,1
130,36745,2
800,130,1
281,1049,1
940,336,1
430,4031,1
1049,131,1
276,4083,1
398,1210,1
1020,358,2
458,332,2
162,415,1
1038,2424,1
281,244,1
2288,150,1
6195,6692,1
46,1049,1
148,1010,2
405,1132,1
931,698,2
144,42,1
506,2250,2
162,720,1
2288,1110,1
12,585,2
749,4159,2
22149,237,1
281,379,1
130,1005,2
1108,5358,1
42,1,1
23826,4795,1
410,276,2
42,247,1
1095,347,1
40,2784,1
180,1003,1
1132,206,1
46,4146,1
583,995,1
969,1095,1
458,4084,1
410,4331,1
11,289,1
416,609,1
46,12,2
5,1533,1
6195,4102,2
862,1385,5
46,3037,2
416,6195,1
750,681,1
232,368,1
417,703,1
430,289,1
12,681,1
458,1038,2
1387,4558,2
931,1218,1
800,4083,1
4083,1210,1
410,4113,1
162,44,1
418,681,2
5,227,1
1533,2448,1
60,48,1
24,2,1
31,405,1
16795,472,1
46,4033,1
1162,1420,1
22,1060,1
985,466,1
1386,4549,1
60,23,1
79,3,1
1429,10643,3
148,2005,1
826,162,1
398,142,1
762,1027,2
31,984,1
130,4103,1
2722,22275,1
3368,5648,1
506,7185,1
13,31,1
533,1450,1
800,4171,1
1020,1031,2
289,1027,1
506,6574,2
985,349,1
862,4084,1
347,1175,1
410,1387,1
631,86,1
244,1159,1
148,1038,1
800,380,1
1025,22302,1
27,86,1
13353,472,1
1386,252,1
31,79,1
862,380,1
24,1081,1
167,65,1
31,2577,1
86,4,2
281,132,2
430,332,1
417,826,1
10010,368,1
621,150,1
244,43,1
862,22197,1
603,1148,1
902,862,1
677,1010,1
826,399,1
416,1103,1
31,866,1
31,714,1
2288,1031,1
199,1025,1
65,2036,1
995,1095,1
276,5177,1
189,5648,1
1237,1071,1
15,2,1
1386,1105,3
336,244,1
1041,585,1
969,738,1
294,630,1
6574,200,1
355,1045,2
244,984,1
1020,3489,1
164,1042,1
800,1627,2
31,990,1
985,543,1
61,595,1
15,1003,1
11,1302,2
826,1420,1
995,3426,1
631,1010,1
862,31255,1
458,1627,1
29,36,2
506,2722,1
418,1532,1
1038,4172,1
11,1020,2
458,252,1
995,416,1
1423,1421,1
1038,279,1
331,3709,1
1429,2919,1
583,1421,1
984,2454,1
667,1095,1
141,14171,1
609,506,1
543,2963,1
430,2251,1
365,33,1
368,2441,1
585,162,1
826,1147,1
1061,4,1
252,8970,5
16795,6692,1
1533,2296,1
260,1387,1
417,1158,1
252,2721,1
234,1005,1
276,4255,1
1003,1110,2
379,991,2
244,281,1
2921,21474,1
10,299,1
1095,8178,1
4102,4083,1
1627,22619,2
13,1030,1
1429,9816,1
16,35,1
3,828,1
131,2381,1
405,703,2
897,2867,1
5,8738,1
995,415,1
1071,22,1
677,350,1
873,1211,2
2921,410,1
415,1095,1
862,607,2
4171,19164,1
6574,4171,1
33,52,1
1387,4553,1
866,3368,1
641,1027,1
4084,800,1
512,641,1
984,1237,3
800,1210,1
1030,3911,1
800,3522,1
1025,333,1
46,499,1
430,4146,1
6182,2296,1
159,416,1
800,33734,2
681,210,1
82,4,1
931,1072,1
23826,206,1
985,677,2
4,828,1
1050,2425,1
1386,1390,1
31,543,1
167,759,1
985,337,1
866,1082,1
337,1072,2
1158,2972,1
148,1123,2
244,61,1
369,506,1
1390,839,1
252,4750,1
29,988,1
29,2454,1
148,368,1
1210,506,1
862,22294,1
1210,2921,1
873,2262,1
1158,1147,1
12,46,1
252,1154,1
347,26871,1
46,237,1
8519,2867,1
1038,3368,1
398,4103,1
512,873,1
142,1387,1
585,839,1
506,4083,3
631,2805,1
11008,6574,1
430,72,1
762,4171,1
131,46,1
862,2239,2
11,899,1
11,3884,1
940,11000,1
11,989,2
506,5174,1
866,1159,1
3709,1532,1
1005,1387,1
3,113,1
6195,5587,1
5,399,1
15,23826,1
1075,16795,1
430,2407,1
244,7670,1
415,11273,1
1038,13562,1
1010,8590,1
3709,1084,1
5,29228,1
15,41,1
244,3161,1
42,35,1
358,3820,1
15,512,1
11,506,1
1429,27525,5
1386,2331,2
46,162,1
533,116,1
148,2454,1
130,1038,3
1029,855,1
667,11300,1
1158,1081,1
631,416,1
62,2,1
1095,595,1
873,6699,1
13,630,1
5,317,1
506,709,1
631,2311,1
1039,1032,1
985,1110,1
4083,1627,1
862,276,1
86,199,1
618,1421,1
2969,1159,1
29,931,1
4053,681,1
410,16795,8
383,44,1
31,873,2
12,2331,1
1387,4515,1
27,33,1
6195,5220,1
1038,1307,2
861,430,1
873,466,1
1041,289,1
368,506,1
12764,11300,1
416,2655,2
862,24898,3
46,2251,3
3,81,1
42,114,1
82,85,2
1158,3911,1
621,7077,1
252,5,1
800,3037,2
13,7971,1
1162,520,1
148,1150,1
31,1533,1
130,1104,1
2403,458,1
3008,1220,1
506,18938,1
1025,1415,1
130,26722,2
800,6631,1
506,1005,1
826,2,1
6574,1307,1
12,8077,1
410,1010,5
472,366,1
40,10004,1
631,988,1
5,150,1
1049,3709,1
1010,986,1
985,142,1
1071,1148,1
410,6195,2
410,4084,1
6574,8970,1
902,44,1
855,1290,1
1020,2804,1
6195,4031,1
12,1050,1
3277,3302,1
276,1103,1
11,1003,2
355,1088,2
131,368,1
762,1220,1
985,873,1
1049,1532,1
294,1049,1
993,11596,1
6574,3522,1
631,641,3
4084,1627,1
252,1020,1
237,366,1
281,899,1
1003,677,2
46,141,1
337,1211,1
46,1386,1
506,12321,1
415,583,1
631,698,2
720,681,1
2464,40,1
543,1020,1
405,724,1
543,1088,1
985,124,1
873,1194,2
1032,3717,1
2448,897,1
142,6767,1
252,4102,2
506,1103,1
762,1519,1
1244,5648,1
1005,5174,1
1020,1039,2
2282,367,1
288,3709,1
543,2454,1
368,366,1
189,940,1
1025,1386,1
336,398,1
1114,289,1
33,3368,1
2921,1387,1
826,641,1
749,8373,1
398,862,1
347,11273,1
458,8373,1
720,366,1
506,1038,1
164,1181,1
171,472,1
40,2700,1
130,4114,3
11470,714,1
631,1003,2
12,1047,1
3,25,1
415,738,1
142,1533,1
621,993,1
148,972,1
46,6195,1
6195,317,1
4083,4097,3
289,2969,1
150,813,1
19,2581,1
350,1089,1
