Id,Label,League
417,OGC Nice,Ligue 1
3558,GFC Ajaccio,Ligue 1
7042,US Boulogne,Ligue 1
1162,SM Caen,Ligue 1
11127,Ural Yekaterinburg,Premier Liga
3714,Enisey Krasnoyarsk,Premier Liga
2737,Saturn Ramenskoe,Premier Liga
12438,Volga Nizhniy Novgorod,Premier Liga
932,Lokomotiv Moscow,Premier Liga
4057,Luch Vladivostok,Premier Liga
3687,Uralan Elista,Premier Liga
2703,Alania Vladikavkaz,Premier Liga
16704,FK Krasnodar,Premier Liga
1124,Fakel Voronezh,Premier Liga
1186,Torpedo Moscow,Premier Liga
232,Spartak Moscow,Premier Liga
5268,Torpedo-ZiL Moskau,Premier Liga
14589,Gazovik Orenburg,Premier Liga
3725,Terek Grozny,Premier Liga
40426,FK Tosno,Premier Liga
3690,SKA Khabarovsk,Premier Liga
10688,Sibir Novosibirsk,Premier Liga
3691,Tom Tomsk,Premier Liga
3609,Rotor Volgograd,Premier Liga
28095,FK Ufa,Premier Liga
2696,Krylya Sovetov Samara,Premier Liga
3834,Sokol Saratov,Premier Liga
8835,Spartak Nalchik,Premier Liga
964,Zenit St. Petersburg,Premier Liga
2439,Kuban Krasnodar,Premier Liga
121,Dinamo Moscow,Premier Liga
5287,Chernomorets Novorossijsk,Premier Liga
2410,CSKA Moscow,Premier Liga
3719,FK Khimki,Premier Liga
11126,Mordovia Saransk,Premier Liga
1083,Rostselmash Rostov,Premier Liga
4128,Amkar Perm,Premier Liga
3729,Arsenal Tula,Premier Liga
2698,Rubin Kazan,Premier Liga
2700,Anzhi Makhachkala,Premier Liga
2374,Shinnik Yaroslavl,Premier Liga
1467,Göztepe,Süper Lig
924,Istanbulspor,Süper Lig
114,Besiktas JK,Süper Lig
845,Diyarbakirspor,Süper Lig
141,Galatasaray SK,Süper Lig
1506,Kardemir D.C. Karabükspor,Süper Lig
2381,Sivasspor,Süper Lig
833,Denizlispor,Süper Lig
1291,Siirt Jetpa Spor,Süper Lig
19771,Akhisar Belediyespor,Süper Lig
2375,Altay SK,Süper Lig
868,MKE Ankaragücü,Süper Lig
36,Fenerbahce SK,Süper Lig
3205,Kayserispor,Süper Lig
120,Kocaelispor,Süper Lig
2293,Konyaspor,Süper Lig
3216,Mersin Idmanyurdu,Süper Lig
1766,Erzurumspor,Süper Lig
10484,Kasimpasa,Süper Lig
11282,Alanyaspor,Süper Lig
20,Bursaspor,Süper Lig
6894,Kayseri Erciyesspor,Süper Lig
740,Yimpas Yozgatspor,Süper Lig
1267,Manisaspor,Süper Lig
19789,Yeni Malatyaspor,Süper Lig
820,Genclerbirligi Ankara,Süper Lig
126,Caykur Rizespor,Süper Lig
2463,Sakaryaspor,Süper Lig
2750,Bucaspor,Süper Lig
10483,Genclerbirligi Oftasspor,Süper Lig
