source,target,weight
1090,200,5
3060,2672,8
873,29,4
37276,683,10
336,543,1
144,447,5
1091,57072,1
2783,10468,16
368,148,2
294,418,3
3207,2293,4
29228,11976,1
982,8294,1
697,14702,1
669,122,1
377,8684,11
1388,1274,1
114,825,10
1443,599,1
2410,2703,10
1186,4128,4
9826,1390,12
43089,697,1
157,5409,2
819,14171,1
3348,2639,2
6894,1204,2
3267,1301,1
1075,336,12
614,524,1
2671,21957,4
3709,6767,3
114,141,7
1436,990,1
6992,4750,1
2990,2035,2
7977,653,1
306,279,3
8031,24,1
6676,6418,3
130,430,7
2362,31124,1
7378,2990,6
180,1010,1
197,5546,23
294,605,2
10005,3325,3
5107,11278,2
800,398,6
306,3892,2
1411,6642,1
1028,405,4
416,130,10
449,12381,73
583,1095,5
3230,566,2
4083,29228,1
5623,873,1
10690,9007,2
800,4541,7
200,1426,6
826,738,2
28095,6407,1
2434,1436,1
1386,252,17
605,6631,1
29228,1082,10
2381,845,7
1397,1147,5
3234,6676,1
276,130,11
18,82,3
583,1176,1
294,114,3
234,603,3
10949,3336,2
132,1063,1
17596,1269,1
1075,2457,6
252,862,22
845,27187,1
1184,931,1
31,1181,6
66,65,1
669,164,1
2744,3592,3
458,15374,1
24,447,1
918,503,1
293,24,1
273,2698,2
6621,410,1
1005,410,7
1385,506,8
155,2277,9
720,419,2
2598,797,10
2381,126,7
896,82,1
244,6600,1
144,419,14
398,4031,1
2477,6993,4
8685,5225,3
408,1386,3
152,820,11
167,15,5
833,36,2
1162,750,2
964,11,2
121,2700,11
618,583,9
4515,506,3
918,11278,8
979,7118,1
667,1095,2
157,1160,1
413,10131,3
16795,985,1
1075,25835,1
7077,16795,1
1307,800,5
3709,1531,4
3057,39,1
2375,1096,1
46,49734,1
2420,8187,2
327,11402,6
12321,714,6
653,2454,1
964,3691,2
405,1218,1
16795,410,45
7185,29808,1
506,252,13
46,1038,15
8707,524,1
750,3161,1
631,1519,1
276,5177,1
1010,1227,1
4053,13,1
1123,1072,1
2311,600,4
3396,5219,2
845,126,8
314,485,6
21474,800,2
4114,1627,3
897,11000,4
4104,749,1
410,18950,3
31,989,5
