source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
128,2984,1,0,0,0,1,0,0.0,0,0.0,0,0,0
7918,157,4,0.01881,0.1747786705923245210492956307,3,1,0,0.01881,0,0.0,0.1747786705923245210492956307,0,0
10803,467,1,0,0,1,0,0,0,0.0,0.0,0,0,0
8023,144,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1010,410,7,0,0,4,1,2,0,0,0,0,0,0
1083,3690,1,0,0,1,0,0,0,0.0,0.0,0,0,0
26854,653,1,0,0,1,0,0,0,0.0,0.0,0,0,0
826,31,1,0.171,3.260869565217391304347826087,1,0,0,0.171,0.0,0.0,3.260869565217391304347826087,0,0
1467,2381,1,0,0,1,0,0,0,0.0,0.0,0,0,0
762,29,1,0.0616,0.9005847953216374269005847953,0,1,0,0.0,0.0616,0.0,0,0.9005847953216374269005847953,0
6994,6422,1,0,0,1,0,0,0,0.0,0.0,0,0,0
660,614,1,0,0,0,0,1,0.0,0.0,0,0,0,0
169,980,1,0,0,1,0,0,0,0.0,0.0,0,0,0
22,472,1,0,0,0,1,0,0.0,0,0.0,0,0,0
4441,868,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2457,3274,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1082,40,1,0.0912,0.3603603603603603603603603604,0,1,0,0.0,0.0912,0.0,0,0.3603603603603603603603603604,0
8956,1268,1,0,0,0,0,1,0.0,0.0,0,0,0,0
3368,630,1,0.0285,0.2659574468085106382978723404,0,1,0,0.0,0.0285,0.0,0,0.2659574468085106382978723404,0
3057,358,3,0.00912,0.09789609274366680978960927437,2,1,0,0.00912,0,0.0,0.09789609274366680978960927437,0,0
2250,46,4,0,0,2,2,0,0,0,0.0,0,0,0
683,605,2,0,0,0,2,0,0.0,0,0.0,0,0,0
122,126,2,0.0137,0.1144527986633249791144527987,2,0,0,0.0137,0.0,0.0,0.1144527986633249791144527987,0,0
204,6726,1,0,0,0,1,0,0.0,0,0.0,0,0,0
566,1081,1,0,0,0,0,1,0.0,0.0,0,0,0,0
9083,5219,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1014,918,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1416,3898,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3911,583,1,0,0,1,0,0,0,0.0,0.0,0,0,0
868,3221,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2293,965,1,0,0,0,0,1,0.0,0.0,0,0,0,0
82,504,1,0.00171,0.01835551738943752683555173894,1,0,0,0.00171,0.0,0.0,0.01835551738943752683555173894,0,0
2374,2705,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1426,385,3,0,0,1,1,1,0,0,0,0,0,0
1158,618,2,0.0285,0.5952380952380952380952380952,1,1,0,0.0285,0,0.0,0.5952380952380952380952380952,0,0
475,968,1,0,0,1,0,0,0,0.0,0.0,0,0,0
12524,868,1,0,0,1,0,0,0,0.0,0.0,0,0,0
28956,2672,1,0,0,0,1,0,0.0,0,0.0,0,0,0
266,2157,1,0,0,1,0,0,0,0.0,0.0,0,0,0
510,506,2,0,0,2,0,0,0,0.0,0.0,0,0,0
7478,1245,1,0,0,1,0,0,0,0.0,0.0,0,0,0
132,499,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6890,126,4,0,0,2,2,0,0,0,0.0,0,0,0
3691,10688,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1210,410,3,0,0,3,0,0,0,0.0,0.0,0,0,0
3008,1089,1,0,0,0,0,1,0.0,0.0,0,0,0,0
3325,2457,1,0,0,1,0,0,0,0.0,0.0,0,0,0
314,697,1,0.00285,0.06578947368421052631578947368,1,0,0,0.00285,0.0,0.0,0.06578947368421052631578947368,0,0
209,405,1,0.1642,2.400584795321637426900584795,0,1,0,0.0,0.1642,0.0,0,2.400584795321637426900584795,0
232,1083,2,0.00912,0.1054096879766611873769010914,1,1,0,0.0057,0.00342,0.0,0.03703703703703703703703703704,0.06837265093962415033986405438,0
2698,8031,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5381,1268,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2374,11126,1,0,0,0,1,0,0.0,0,0.0,0,0,0
58,631,1,0.171,3.571428571428571428571428571,1,0,0,0.171,0.0,0.0,3.571428571428571428571428571,0,0
1103,1429,1,0,0,1,0,0,0,0.0,0.0,0,0,0
862,995,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6368,19,1,0,0,1,0,0,0,0.0,0.0,0,0,0
290,273,3,0.057,0.4950495049504950495049504950,3,0,0,0.057,0.0,0.0,0.4950495049504950495049504950,0,0
58,294,1,0,0,1,0,0,0,0.0,0.0,0,0,0
398,3037,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2700,8956,1,0,0,1,0,0,0,0.0,0.0,0,0,0
993,897,2,0.05757,0.4875859180137468821995011519,2,0,0,0.05757,0.0,0.0,0.4875859180137468821995011519,0,0
21331,276,2,0,0,2,0,0,0,0.0,0.0,0,0,0
3057,2977,1,0,0,1,0,0,0,0.0,0.0,0,0,0
142,3709,4,0,0,0,3,1,0.0,0,0,0,0,0
667,1158,5,0.03648,0.7432561858977339296839403773,3,1,1,0.0342,0,0.00228,0.6976744186046511627906976744,0,0.04558176729308276689324270292
2457,3341,1,0,0,1,0,0,0,0.0,0.0,0,0,0
354,3508,2,0,0,1,1,0,0,0,0.0,0,0,0
1204,141,1,0,0,1,0,0,0,0.0,0.0,0,0,0
621,2296,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3690,6414,2,0,0,1,0,1,0,0.0,0,0,0,0
2783,2156,2,0,0,1,1,0,0,0,0.0,0,0,0
221,524,2,0,0,0,1,1,0.0,0,0,0,0,0
2784,3725,1,0.0251,0.5242272347535505430242272348,0,1,0,0.0,0.0251,0.0,0,0.5242272347535505430242272348,0
1465,17300,1,0,0,1,0,0,0,0.0,0.0,0,0,0
14107,2566,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1211,3008,1,0,0,1,0,0,0,0.0,0.0,0,0,0
14782,128,1,0,0,1,0,0,0,0.0,0.0,0,0,0
244,595,2,0,0,0,2,0,0.0,0,0.0,0,0,0
3327,1075,1,0,0,1,0,0,0,0.0,0.0,0,0,0
25242,2420,1,0.0057,0.04761904761904761904761904762,0,1,0,0.0,0.0057,0.0,0,0.04761904761904761904761904762,0
11273,995,1,0,0,1,0,0,0,0.0,0.0,0,0,0
40426,8024,1,0,0,0,1,0,0.0,0,0.0,0,0,0
47,2441,2,0.00456,0.1052631578947368421052631579,2,0,0,0.00456,0.0,0.0,0.1052631578947368421052631579,0,0
135,797,1,0,0,0,1,0,0.0,0,0.0,0,0,0
940,1184,1,0.0205,0.1712614870509607351712614871,1,0,0,0.0205,0.0,0.0,0.1712614870509607351712614871,0,0
1083,932,7,0.00912,0.1922196796338672768878718536,4,3,0,0.00912,0,0.0,0.1922196796338672768878718536,0,0
202,30510,1,0,0,0,1,0,0.0,0,0.0,0,0,0
868,833,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,458,4,0.1083,2.432980451945858117345587551,3,1,0,0.0593,0.049,0.0,1.301863185094519243846049232,1.131117266851338873499538319,0
1520,144,7,0,0,6,1,0,0,0,0.0,0,0,0
18938,506,1,0,0,1,0,0,0,0.0,0.0,0,0,0
18,33,1,0,0,1,0,0,0,0.0,0.0,0,0,0
399,984,2,0,0,0,2,0,0.0,0,0.0,0,0,0
3057,1411,3,0,0,0,1,2,0.0,0,0,0,0,0
6377,7975,1,0,0,1,0,0,0,0.0,0.0,0,0,0
12321,605,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1082,11,1,0.1368,2.857142857142857142857142857,1,0,0,0.1368,0.0,0.0,2.857142857142857142857142857,0,0
485,999,2,0,0,2,0,0,0,0.0,0.0,0,0,0
2420,1301,3,0,0,1,2,0,0,0,0.0,0,0,0
5544,1322,3,0,0,1,1,1,0,0,0,0,0,0
89,39,2,0.0137,0.2861319966583124477861319967,1,1,0,0,0.0137,0.0,0,0.2861319966583124477861319967,0
1159,969,1,0,0,1,0,0,0,0.0,0.0,0,0,0
8835,3719,2,0,0,1,1,0,0,0,0.0,0,0,0
11,415,1,0,0,1,0,0,0,0.0,0.0,0,0,0
162,2439,1,0,0,0,1,0,0.0,0,0.0,0,0,0
677,164,2,0,0,0,2,0,0.0,0,0.0,0,0,0
7975,5225,4,0,0,4,0,0,0,0.0,0.0,0,0,0
3057,204,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1214,868,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1268,148,1,0,0,1,0,0,0,0.0,0.0,0,0,0
813,931,1,0.00912,0.2133333333333333333333333333,0,0,1,0.0,0.0,0.00912,0,0,0.2133333333333333333333333333
28643,2861,2,0.0285,0.1126126126126126126126126126,1,1,0,0.0285,0,0.0,0.1126126126126126126126126126,0,0
3342,2457,1,0,0,0,1,0,0.0,0,0.0,0,0,0
8146,814,2,0,0,2,0,0,0,0.0,0.0,0,0,0
2293,37951,1,0,0,1,0,0,0,0.0,0.0,0,0,0
10131,37024,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1075,720,9,0.0342,0.3191489361702127659574468085,6,2,1,0.0342,0,0,0.3191489361702127659574468085,0,0
940,31614,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1627,380,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2455,1003,1,0,0,1,0,0,0,0.0,0.0,0,0,0
631,46,2,0,0,0,1,1,0.0,0,0,0,0,0
16245,660,3,0,0,1,2,0,0,0,0.0,0,0,0
1506,141,2,0,0,0,2,0,0.0,0,0.0,0,0,0
380,4083,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1082,7831,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2727,498,2,0.0057,0.1190476190476190476190476190,1,1,0,0,0.0057,0.0,0,0.1190476190476190476190476190,0
46,330,1,0,0,0,0,1,0.0,0.0,0,0,0,0
30120,169,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1429,10643,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3037,862,7,0,0,4,2,1,0,0,0,0,0,0
42039,450,1,0.00057,0.003703703703703703703703703704,0,1,0,0.0,0.00057,0.0,0,0.003703703703703703703703703704,0
3268,3336,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6321,27,1,0.114,0.7407407407407407407407407407,1,0,0,0.114,0.0,0.0,0.7407407407407407407407407407,0,0
4814,2457,1,0,0,0,1,0,0.0,0,0.0,0,0,0
26789,6574,2,0,0,2,0,0,0,0.0,0.0,0,0,0
873,641,1,0,0,0,1,0,0.0,0,0.0,0,0,0
750,6342,1,0,0,1,0,0,0,0.0,0.0,0,0,0
377,197,1,0.00912,0.2077922077922077922077922078,1,0,0,0.00912,0.0,0.0,0.2077922077922077922077922078,0,0
455,290,1,0.0376,0.7516993202718912435025989604,1,0,0,0.0376,0.0,0.0,0.7516993202718912435025989604,0,0
897,294,4,0,0,3,1,0,0,0,0.0,0,0,0
873,29,3,0.4549,5.259712322255725946881063782,1,2,0,0,0.4549,0.0,0,5.259712322255725946881063782,0
190,338,1,0.0456,0.1801801801801801801801801802,1,0,0,0.0456,0.0,0.0,0.1801801801801801801801801802,0,0
294,418,1,0.3762,5.641025641025641025641025641,1,0,0,0.3762,0.0,0.0,5.641025641025641025641025641,0,0
697,14702,1,0,0,1,0,0,0,0.0,0.0,0,0,0
29,1003,1,0.0388,0.8103592314118629908103592314,0,1,0,0.0,0.0388,0.0,0,0.8103592314118629908103592314,0
9826,1390,2,0,0,1,1,0,0,0,0.0,0,0,0
130,506,5,0.3648,7.184265010351966873706004141,2,2,1,0,0.3648,0,0,7.184265010351966873706004141,0
43089,697,1,0,0,1,0,0,0,0.0,0.0,0,0,0
819,14171,1,0,0,1,0,0,0,0.0,0.0,0,0,0
30200,2180,1,0,0,0,1,0,0.0,0,0.0,0,0,0
430,173,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3709,6767,1,0,0,1,0,0,0,0.0,0.0,0,0,0
317,316,1,0,0,0,1,0,0.0,0,0.0,0,0,0
410,17483,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2990,2035,1,0,0,0,1,0,0.0,0,0.0,0,0,0
7977,653,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3037,6574,3,0,0,3,0,0,0,0.0,0.0,0,0,0
4787,2672,1,0,0,1,0,0,0,0.0,0.0,0,0,0
7378,2990,2,0,0,1,1,0,0,0,0.0,0,0,0
1003,164,1,0.00257,0.05855547960811118705855547961,0,0,1,0.0,0.0,0.00257,0,0,0.05855547960811118705855547961
687,306,1,0.0228,0.4558176729308276689324270292,0,1,0,0.0,0.0228,0.0,0,0.4558176729308276689324270292,0
124,1025,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4085,332,1,0,0,1,0,0,0,0.0,0.0,0,0,0
599,8007,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1028,405,2,0,0,1,0,1,0,0.0,0,0,0,0
7542,86,1,0.0103,0.2377654662973222530009233610,1,0,0,0.0103,0.0,0.0,0.2377654662973222530009233610,0,0
164,1388,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5,46,2,0.057,1.190476190476190476190476190,0,1,1,0.0,0,0.057,0,0,1.190476190476190476190476190
5623,873,1,0,0,1,0,0,0,0.0,0.0,0,0,0
8042,833,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4297,1301,2,0,0,2,0,0,0,0.0,0.0,0,0,0
8738,749,1,0,0,1,0,0,0,0.0,0.0,0,0,0
800,4541,1,0,0,1,0,0,0,0.0,0.0,0,0,0
204,1184,4,0.0143,0.05650387229334597755650387229,4,0,0,0.0143,0.0,0.0,0.05650387229334597755650387229,0,0
130,252,2,0.057,1.162790697674418604651162791,1,1,0,0,0.057,0.0,0,1.162790697674418604651162791,0
2434,1436,1,0,0,0,1,0,0.0,0,0.0,0,0,0
605,6631,1,0,0,0,1,0,0.0,0,0.0,0,0,0
29228,1082,5,0,0,4,1,0,0,0,0.0,0,0,0
3349,25817,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2381,845,1,0,0,0,1,0,0.0,0,0.0,0,0,0
18,82,2,0.1368,1.578947368421052631578947368,0,1,1,0.0,0.1368,0,0,1.578947368421052631578947368,0
50,39,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3524,667,2,0.0228,0.1481481481481481481481481481,2,0,0,0.0228,0.0,0.0,0.1481481481481481481481481481,0,0
1264,316,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6621,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1301,537,2,0,0,0,1,1,0.0,0,0,0,0,0
800,458,3,0.0969,2.201593046991729623939897726,1,1,1,0.0855,0.0114,0,1.973684210526315789473684211,0.2279088364654138344662135146,0
3323,2503,2,0,0,2,0,0,0,0.0,0.0,0,0,0
2444,2235,2,0,0,1,1,0,0,0,0.0,0,0,0
244,6600,1,0,0,0,1,0,0.0,0,0.0,0,0,0
4254,1005,1,0,0,1,0,0,0,0.0,0.0,0,0,0
144,419,4,0,0,2,1,1,0,0,0,0,0,0
8685,5225,1,0,0,0,0,1,0.0,0.0,0,0,0,0
642,317,1,0.0103,0.09611795446061963419186263531,1,0,0,0.0103,0.0,0.0,0.09611795446061963419186263531,0,0
1181,22,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6098,21957,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1162,750,1,0,0,0,1,0,0.0,0,0.0,0,0,0
964,11,2,0.1881,3.837209302325581395348837209,0,1,1,0.0,0.1881,0,0,3.837209302325581395348837209,0
44,330,1,0.0057,0.1333333333333333333333333333,0,1,0,0.0,0.0057,0.0,0,0.1333333333333333333333333333,0
618,583,2,0.0114,0.1290322580645161290322580645,1,1,0,0,0.0114,0.0,0,0.1290322580645161290322580645,0
46649,354,2,0,0,2,0,0,0,0.0,0.0,0,0,0
157,1160,1,0,0,0,1,0,0.0,0,0.0,0,0,0
501,2282,1,0,0,0,1,0,0.0,0,0.0,0,0,0
7077,16795,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3057,39,1,0,0,0,1,0,0.0,0,0.0,0,0,0
724,200,2,0,0,2,0,0,0,0.0,0.0,0,0,0
2375,1096,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3551,14,2,0,0,2,0,0,0,0.0,0.0,0,0,0
399,1132,1,0.187,0.7388967915283704757388967915,0,1,0,0.0,0.187,0.0,0,0.7388967915283704757388967915,0
4104,252,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1010,1227,1,0,0,1,0,0,0,0.0,0.0,0,0,0
964,12438,1,0,0,1,0,0,0,0.0,0.0,0,0,0
367,46,2,0,0,2,0,0,0,0.0,0.0,0,0,0
197,941,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6630,10483,1,0,0,0,1,0,0.0,0,0.0,0,0,0
897,11000,1,0,0,0,0,1,0.0,0.0,0,0,0,0
36,114,1,0,0,0,1,0,0.0,0,0.0,0,0,0
31,989,2,0.4469,3.284786039172004084284786039,2,0,0,0.4469,0.0,0.0,3.284786039172004084284786039,0,0
931,128,1,0,0,0,0,1,0.0,0.0,0,0,0,0
3336,3342,1,0.0057,0.03703703703703703703703703704,1,0,0,0.0057,0.0,0.0,0.03703703703703703703703703704,0,0
148,543,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2995,35599,1,0,0,0,1,0,0.0,0,0.0,0,0,0
970,317,1,0.00684,0.1395348837209302325581395349,1,0,0,0.00684,0.0,0.0,0.1395348837209302325581395349,0,0
2503,720,4,0.0171,0.3418632546981207516993202719,3,1,0,0.0171,0,0.0,0.3418632546981207516993202719,0,0
599,447,4,0.00149,0.01390444195595371407241508025,3,1,0,0.00149,0,0.0,0.01390444195595371407241508025,0,0
698,618,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5546,715,3,0,0,3,0,0,0,0.0,0.0,0,0,0
504,409,4,0.0718,0.6981128033759612706981128034,1,3,0,0.057,0.0148,0.0,0.4761904761904761904761904762,0.2219223271854850802219223272,0
2598,697,5,0,0,4,1,0,0,0,0.0,0,0,0
15,1622,1,0,0,1,0,0,0,0.0,0.0,0,0,0
982,27475,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1161,172,1,0.0057,0.02252252252252252252252252252,0,1,0,0.0,0.0057,0.0,0,0.02252252252252252252252252252,0
6574,8970,2,0.0125,0.08122157244964262508122157245,0,2,0,0.0,0.0125,0.0,0,0.08122157244964262508122157245,0
3205,20,2,0,0,1,1,0,0,0,0.0,0,0,0
133,200,3,0,0,3,0,0,0,0.0,0.0,0,0,0
7185,3173,1,0,0,0,0,1,0.0,0.0,0,0,0,0
3650,6414,1,0,0,0,1,0,0.0,0,0.0,0,0,0
865,157,1,0,0,1,0,0,0,0.0,0.0,0,0,0
503,170,3,0.00467,0.09692789550846328135412501666,3,0,0,0.00467,0.0,0.0,0.09692789550846328135412501666,0,0
1411,10483,1,0,0,1,0,0,0,0.0,0.0,0,0,0
417,1416,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3687,2703,2,0,0,0,0,2,0.0,0.0,0,0,0,0
46,458,1,0.0376,0.2443144899285250162443144899,1,0,0,0.0376,0.0,0.0,0.2443144899285250162443144899,0,0
