source,target,weight
416,9816,1
1429,19109,1
1020,1034,2
1184,1003,1
210,24,1
142,609,1
2457,1387,2
800,2722,11
1010,164,2
11596,16795,1
839,800,13
8850,417,1
399,703,2
130,510,1
862,4083,6
3368,1533,4
1388,13501,1
762,1089,4
1210,458,5
244,4291,1
862,7030,1
1025,10748,1
44,180,1
40,417,4
1123,3884,2
641,418,2
1386,5,6
86,1096,2
2655,416,4
1237,1123,2
358,991,3
512,349,8
46,862,14
19,1010,1
41,3,5
44,4644,1
417,465,1
410,749,11
11749,458,1
410,1210,6
1025,276,15
180,2262,2
12,4333,7
1020,989,12
331,681,3
984,358,1
410,1010,34
2454,289,3
410,46664,2
332,252,12
415,2580,2
2814,11,1
12,1627,4
1159,1175,2
171,331,1
4750,800,2
3523,940,1
533,33,3
368,15447,1
148,180,8
1123,2454,1
398,506,7
281,1045,5
2655,398,1
873,16696,1
1038,1005,5
601,281,1
1210,862,6
1038,332,8
862,252,17
512,12321,2
202,1110,2
714,2407,1
749,4172,4
609,1041,4
1071,252,1
398,7185,1
164,1045,3
18642,2921,2
506,19,8
368,2700,1
23826,1017,1
232,40,1
48,4795,1
290,43,1
1387,506,21
931,148,7
150,415,1
16,3,5
44,585,1
3161,14171,1
703,985,2
405,281,7
13517,19,2
252,4718,1
82,417,1
1003,355,5
380,862,7
986,379,3
4103,46,2
273,290,6
11,131,9
1429,4554,2
504,39,1
618,969,3
800,12,6
5679,512,2
6195,10561,2
703,762,9
618,11300,5
242,60,2
1110,355,2
331,2867,1
631,289,3
169,2969,2
9439,506,4
4558,1104,1
252,408,5
430,332,7
5,22185,1
27525,1429,4
4083,430,6
1390,2655,2
1123,33324,1
1421,1041,2
714,1091,1
4,42,3
467,985,3
1253,506,2
2455,164,1
430,312,1
677,667,1
29228,1082,10
281,5,3
1038,2921,13
42,35,4
1429,27525,6
368,131,10
148,677,5
331,2750,1
12,1286,1
80,2,5
21331,410,1
289,2577,11
416,380,2
18,630,1
417,244,9
3008,164,3
4544,506,1
2784,162,1
366,3709,8
329,1025,1
119,1082,1
1390,9826,11
416,12,10
367,1533,2
79,82,9
14456,16795,1
289,1010,7
42,3,4
472,1531,2
800,2331,12
1290,1147,1
19,410,5
1084,367,7
46196,416,1
1627,1210,3
1148,631,3
31,1003,8
5,50341,1
337,9562,1
506,2722,7
1010,234,2
408,1390,3
618,3166,1
24420,1533,7
6195,4102,11
1388,355,1
1010,11,5
252,2331,3
1106,681,1
1533,2929,1
276,19,8
595,12321,1
1049,1436,1
1032,1035,1
607,3037,2
273,931,2
1082,417,3
150,641,1
252,13562,7
1084,281,3
366,16795,3
410,2293,1
641,405,6
159,52,2
150,3709,9
338,618,2
2655,458,6
1078,512,1
5,749,11
379,2524,1
130,3037,14
512,466,5
1003,1071,4
20519,410,1
2288,641,3
5,4541,1
1082,2696,1
1095,30200,1
2481,416,2
677,603,1
18950,430,2
41,1084,2
366,5358,2
1060,358,1
368,7077,3
1386,1038,8
4562,1210,1
22,826,1
46,430,3
337,1039,6
2972,1162,2
40,714,3
289,984,4
2855,897,2
641,1060,1
12,2921,17
26789,6195,2
61,826,2
352,148,11
1175,1420,3
171,1087,1
610,1020,1
1082,14171,2
1421,1082,2
2969,273,3
995,3161,4
1627,1286,1
873,1071,4
2282,2,2
162,618,6
4104,458,1
749,1038,9
180,1032,3
826,273,13
430,22275,2
3911,415,4
6195,1025,9
150,8568,1
738,1158,4
862,607,7
5,8970,1
150,383,1
2919,46,7
873,244,2
5,252,22
1388,46,5
5,4083,8
23,82,1
52,41,2
130,46,31
379,1071,5
1244,2497,2
681,11608,3
1041,667,5
358,2553,2
368,33,4
6574,46933,2
2047,12,1
1158,16,1
22619,1627,13
32480,130,1
800,1418,1
621,2448,4
86,279,5
405,1181,7
862,800,9
33,18,6
332,6574,1
430,281,4
399,458,2
458,506,6
1087,368,1
762,1302,2
458,2253,2
237,418,2
162,1158,7
839,1627,13
162,738,3
189,762,1
931,7055,2
4171,398,2
237,128,1
458,4541,3
2655,800,10
1064,237,1
1386,10503,1
142,398,4
1038,4171,6
28,30,1
641,698,3
11000,940,3
1210,5174,4
1038,18074,1
839,5,5
52,4773,1
1237,1194,2
15,8590,1
969,1175,1
603,33438,1
1010,130,2
826,641,4
148,2454,4
2,42,1
65,440,1
621,993,5
33,41,7
4103,1390,6
1050,1049,5
1267,18,1
331,150,6
130,4553,2
289,2964,1
1158,11300,2
1038,12,12
1387,1105,2
46,4085,1
289,1127,1
2805,148,2
379,399,2
46,4337,1
416,1306,2
11,1148,4
332,416,11
1387,252,17
5,839,6
202,631,1
148,1237,3
10,23,4
506,430,11
984,1088,2
3537,1032,3
289,677,9
82,48,3
148,3825,1
265,14171,1
1038,398,7
347,271,1
405,512,8
458,2251,2
3911,1162,2
321,79,1
25,98,1
1003,11300,1
1210,43396,1
1003,22,3
496,167,1
3057,86,1
379,873,8
1123,164,2
2790,862,3
40,583,2
1108,940,3
667,289,1
1386,8970,3
447,6195,2
1081,31,1
12764,3911,1
1386,6195,10
82,206,4
506,2921,15
995,16795,1
1181,29,4
130,1386,5
506,527,2
862,26789,9
798,148,1
1078,164,4
1071,3053,2
631,1071,4
46,1162,1
1385,276,4
31,22,6
11831,252,1
355,603,3
336,150,2
903,543,2
418,641,4
1386,410,6
252,4333,4
252,41756,1
631,371,3
814,82,1
631,352,3
603,1071,3
1082,458,1
1035,148,3
899,289,2
1039,985,4
714,1084,4
720,13,8
10482,4,1
130,9439,3
969,595,3
4720,19,1
61,583,1
631,22,1
321,1081,3
80,856,1
72,120,1
1532,940,2
862,332,12
1210,1388,1
368,585,1
940,208,1
1082,3558,3
1025,1005,6
984,1039,3
1210,1386,5
164,239,1
703,148,4
458,62,1
2241,33,1
273,1041,6
337,3060,1
897,982,1
367,527,1
80,93,1
40,38,1
13,1050,6
839,358,1
52,16,3
12,1050,1
1050,189,7
1025,408,10
79,3,6
3037,130,13
273,595,6
625,18,1
4074,1123,1
1387,3,2
1158,124,1
800,410,11
1244,7468,2
3054,984,6
7971,368,1
358,1219,2
294,13,7
6195,46,6
931,605,1
44,9713,1
3368,8494,1
1038,130,16
1210,1103,2
9439,430,1
417,3524,2
405,603,3
46,15374,2
415,1049,1
13,10948,1
38,127,1
105,23624,1
583,36,2
14888,2722,4
46,171,1
6692,5,3
800,332,7
603,762,2
631,472,1
415,2118,2
129,40,1
41,105,1
2323,410,1
131,11,3
585,41,1
244,7378,1
148,1150,11
1042,762,2
358,148,7
985,405,8
3368,366,14
189,1627,2
862,22203,1
347,494,1
4033,12,1
595,61,1
405,383,1
289,180,2
2,8,1
1081,1397,1
800,235,1
5,1387,4
1017,379,1
337,1071,7
506,1025,13
455,3,1
5,4271,4
11,703,4
862,430,5
2250,46,15
430,506,10
1826,1084,1
410,12446,1
931,762,2
398,458,3
6195,430,3
494,1081,1
1388,1408,1
6600,46,1
583,40,6
65,42,3
2288,762,4
42,17444,1
964,583,2
826,2524,1
972,148,7
631,2804,1
130,164,2
1020,119,1
31,142,1
677,358,5
204,506,1
41,2394,2
60,851,1
2817,29,1
1390,3037,3
252,410,10
416,607,3
398,197,1
750,86,1
4,293,1
13,114,1
27,12,2
114,18,2
19,800,2
1005,130,14
86,38,6
1003,1194,1
873,2262,5
603,1035,1
4172,458,2
281,399,2
989,11177,1
252,1104,7
1533,648,1
1010,410,26
4102,332,2
862,2919,5
416,408,6
2814,180,2
595,3135,2
873,355,8
4053,142,1
131,244,2
27,252,1
336,131,2
986,399,1
164,337,6
2790,252,11
506,1020,1
27514,1038,1
506,7185,1
332,862,16
800,4255,7
252,4083,8
5,2250,5
4114,1387,1
41,77,1
2967,417,1
4255,1038,5
704,862,5
337,3064,5
415,1175,5
1084,39,1
234,16,3
