source,target,weight
46,1038,2
12405,1084,1
42,35,1
39,33,3
13,1049,1
15,72,1
17115,1162,1
12,1286,1
630,398,1
21331,410,1
12,20519,1
931,677,1
2581,130,1
18,630,1
2441,12,1
2,15,1
148,1003,1
7185,506,1
68,30,1
332,398,2
4324,410,2
244,27,1
31,512,2
583,1081,1
79,82,1
2990,18,1
290,18,1
1084,190,1
1290,1147,1
5648,4054,1
4333,839,1
19,410,4
1084,367,3
1627,1210,1
472,2867,1
1148,631,3
150,398,1
16,825,1
826,1041,1
5,50341,1
7409,430,1
2454,405,3
7198,1429,2
606,1049,1
3709,1531,2
3522,276,3
403,30,1
826,618,1
2921,12,5
452,18,1
18,24,1
273,931,1
1010,631,1
150,641,1
621,7077,1
405,148,1
366,16795,1
2331,5,3
1106,130,1
86,58,1
252,2790,2
504,289,1
294,931,1
20519,410,1
873,677,2
1194,873,2
336,1049,3
398,4941,1
1429,130,6
6631,1429,1
150,1050,1
449,1010,1
677,603,1
749,430,3
2969,3911,1
46,1123,1
1034,281,1
368,7077,1
855,1095,3
14171,1147,1
2655,506,5
618,180,1
150,3368,1
1005,506,1
862,197,1
380,1210,1
61,826,2
1627,862,3
995,347,1
1084,4032,1
1175,1420,1
16795,1010,5
566,595,1
1027,931,2
1421,1082,2
410,16795,3
4159,1038,1
306,273,1
606,13,1
618,417,2
2282,2,1
2464,1533,1
4104,458,1
749,1038,5
10850,1095,1
669,430,4
82,4795,1
337,2288,1
738,1158,2
862,607,2
45618,1038,1
2919,46,3
5,252,5
4,110,1
23,82,1
14171,11300,1
553,862,1
410,336,1
1084,31,1
1041,667,2
16795,31614,1
358,2553,1
6574,46933,1
1162,667,1
1041,162,4
1307,12,5
22619,1627,7
800,1418,1
506,4102,1
6992,130,1
862,800,5
332,6574,1
148,583,1
1003,405,2
1533,681,5
720,1041,1
416,252,2
458,82,3
167,2036,1
1387,416,3
2655,800,3
1386,10503,1
142,398,1
585,86,2
410,398,3
11000,940,2
543,631,3
7178,1005,1
1387,800,5
52,4773,1
26,533,2
1429,1386,1
826,641,1
7077,1244,1
399,272,1
3709,150,4
350,29,1
1307,6574,1
1049,294,1
610,873,1
86,35,1
1267,18,1
1533,40,1
862,27462,1
1044,80,1
289,2964,1
252,130,2
1164,1161,1
1038,12,4
2805,148,1
379,399,2
681,11608,1
16,41,2
332,416,3
4254,2921,1
12,252,4
306,984,1
46,1047,2
202,631,1
449,458,1
4083,430,1
896,30,1
273,2580,1
2,57,1
347,271,1
3911,1158,1
60,273,1
42,65,2
257,410,1
25,98,1
1025,130,3
543,985,1
408,46,1
131,5,2
6195,410,5
11337,6195,1
749,410,6
2288,29,1
40,583,1
13,79,1
1108,940,1
667,289,1
1386,8970,2
1005,130,7
9218,289,1
164,379,6
465,762,1
993,367,1
22253,332,3
1108,5,3
681,3709,1
1181,29,2
130,1386,2
1175,826,3
5174,1038,3
289,31,1
26331,800,1
1071,3053,2
931,3,1
749,5,3
294,1049,3
206,1132,1
697,410,1
2921,252,3
210,458,1
6195,6266,1
355,603,1
131,368,1
294,714,1
252,6195,2
855,667,1
171,11300,1
130,410,5
4172,800,2
512,289,2
5,2407,1
420,72,1
4361,6574,1
873,349,1
368,33,1
631,371,1
1420,3911,1
398,6195,1
26871,1162,2
410,14171,1
1082,458,1
27,40,1
510,1210,1
1025,506,5
4720,19,1
969,595,3
16,413,1
458,2655,2
3229,355,1
80,856,1
3631,16795,1
1025,31,1
46,681,1
1210,1388,1
86,127,1
350,3008,1
347,1095,3
82,48,1
2969,290,1
2241,33,1
1210,1386,2
458,62,1
698,1003,1
405,19231,1
190,82,2
273,1041,3
337,3060,1
80,93,1
40,38,1
1039,985,1
399,641,1
1025,408,2
1082,33,2
40,8178,1
3054,984,4
6574,13,1
6195,46,2
1103,130,3
130,26789,1
3368,8494,1
4097,800,1
1038,130,6
12321,512,1
332,1387,3
252,19,3
339,105,1
985,398,1
18,65,4
415,1049,1
252,56966,1
6767,714,1
1041,1081,1
3489,1020,1
749,14888,1
2778,1386,1
1103,506,1
162,1091,1
129,40,1
10,15,1
131,11,1
1426,379,1
585,41,1
1164,273,1
1042,762,2
38967,862,1
21550,1010,1
24,30,1
358,148,1
3368,366,2
603,337,1
31,418,1
347,995,2
21550,506,2
714,6195,2
2454,350,1
5,800,2
595,61,1
405,383,1
703,405,2
2,8,1
331,1108,1
1081,1397,1
458,4033,1
1017,379,1
337,1071,2
5370,39,1
69,44,1
6195,749,1
606,897,1
1123,931,3
595,1161,1
379,1072,1
15,24,4
52,80,2
6600,46,1
4554,130,2
2448,862,1
337,984,3
1074,405,2
418,294,2
533,127,1
276,332,1
13,1532,1
2969,1245,1
677,358,2
260,273,1
862,398,1
48,167,2
750,86,1
232,368,1
114,18,1
16795,12321,1
366,1244,1
37,415,1
985,610,1
4172,458,2
995,855,2
1160,244,1
72,16,3
595,3135,1
3037,398,1
4028,4083,1
986,399,1
116,16795,2
667,1175,1
18544,2,1
29,648,1
167,22219,1
4114,1387,1
142,6676,1
4102,6195,2
902,417,1
1423,61,1
142,3205,1
131,1049,1
4,27,1
410,3837,1
2923,714,1
873,6699,1
9439,1387,1
4,80,1
416,4031,1
82,5138,1
1110,144,1
750,2969,1
5862,130,11
355,337,2
3850,19,1
142,1038,1
48,15,2
1158,417,3
180,11,1
583,826,1
60,533,1
1245,410,3
33,4795,1
410,130,1
61,244,1
472,5358,1
119,355,1
681,583,2
5358,29095,1
22,987,1
2553,410,3
11596,1533,1
12,749,2
398,281,1
22203,1429,1
1290,1421,1
1108,1531,1
130,12,3
142,199,1
940,4032,1
46,1005,1
4558,1387,2
1408,1104,1
44884,46,1
417,931,1
4326,1210,1
112,4,1
35,33,1
2424,290,1
276,398,3
985,11,1
415,3166,1
46,41681,1
72,60,1
621,472,2
5621,1038,1
276,506,4
512,677,1
1210,1005,1
800,4541,4
1387,430,2
43,1071,1
5587,410,2
1104,1210,2
738,1082,1
595,122,1
289,897,1
1158,3558,1
210,44,1
762,506,1
24898,46,2
1025,683,1
237,47,1
9252,273,1
7077,31,1
410,4271,1
2797,931,1
347,24,1
